PersonnelID,Name,AgencyID,Position,ClearanceLevel
1,Matthew Osborne,190,Computer games developer,Confidential
2,Mary Perry,78,Maintenance engineer,Secret
3,Robert Price,24,Nutritional therapist,Confidential
4,Stephanie Fields,11,Herpetologist,Secret
5,Michael Larson,85,"Engineer, civil (consulting)",Top Secret
6,Gabriel Johnson,57,"Restaurant manager, fast food",Confidential
7,Eric Brown,149,Hydrologist,Confidential
8,Belinda Savage,131,Airline pilot,Secret
9,Alicia Beck,93,Arts administrator,Confidential
10,Lisa Turner,69,English as a foreign language teacher,Secret
11,Katherine Romero,129,"Engineer, aeronautical",Confidential
12,Tina Krueger,200,Restaurant manager,Secret
13,Eileen Murray,39,Field seismologist,Confidential
14,Kelly Coffey,198,Surgeon,Top Secret
15,Chase Wilson,113,Ecologist,Secret
16,Kara Peterson,17,Estate manager/land agent,Top Secret
17,Brian Woodard,71,"Accountant, chartered certified",Secret
18,Meredith Griffin,80,International aid/development worker,Top Secret
19,Paul Castro,78,Race relations officer,Top Secret
20,Brian Hill,23,Chief Operating Officer,Top Secret
21,Amy Montgomery,113,Advertising copywriter,Top Secret
22,Heather Jones,122,"Therapist, drama",Secret
23,Alexis Mercado,48,Chartered loss adjuster,Top Secret
24,Andrew Guzman,184,Arts administrator,Top Secret
25,Linda Smith,3,Actuary,Secret
26,Gary Jones,62,"Surveyor, commercial/residential",Secret
27,Rachel Lyons,182,Race relations officer,Top Secret
28,Nicholas Ward,178,Tour manager,Confidential
29,Joseph Parrish,100,Land/geomatics surveyor,Top Secret
30,Crystal Morgan,145,Operational researcher,Secret
31,Sarah Conway,186,Tourism officer,Secret
32,Shawn Davis,79,Bonds trader,Secret
33,Rhonda Evans,150,"Nurse, learning disability",Top Secret
34,Emily Davis,164,Race relations officer,Secret
35,Kyle Gonzalez,113,Research scientist (physical sciences),Secret
36,Scott Gibson,99,Child psychotherapist,Top Secret
37,Christopher Wilkerson,19,"Doctor, hospital",Confidential
38,Vanessa Miller,31,"Radiographer, therapeutic",Secret
39,Thomas Moreno,167,Firefighter,Secret
40,Diane Adams,149,"Nurse, children's",Secret
41,Adrienne Keller,183,International aid/development worker,Confidential
42,Jonathan Watson,193,"Teacher, special educational needs",Secret
43,William Morris,154,Forest/woodland manager,Secret
44,Charles Morales,102,Print production planner,Secret
45,Michael Levine,55,"Surveyor, rural practice",Top Secret
46,Molly James,127,Meteorologist,Confidential
47,Ryan Jenkins,107,Quality manager,Confidential
48,Dylan Smith,56,Chief of Staff,Secret
49,Shannon Jensen,95,Tour manager,Secret
50,Chase Henson,79,Leisure centre manager,Top Secret
51,Jonathan Espinoza,62,"Engineer, aeronautical",Top Secret
52,Jonathan Roberts,94,Ship broker,Confidential
53,Shelly Wilson,114,Garment/textile technologist,Top Secret
54,Gabriel Bass,70,Training and development officer,Secret
55,John Wilson,78,Retail merchandiser,Secret
56,Elaine Buck,144,"Horticulturist, commercial",Secret
57,Mindy Riley,128,"Scientist, audiological",Confidential
58,Janet Davies,190,"Administrator, sports",Confidential
59,Clarence Martinez,129,Sales executive,Confidential
60,Scott Chambers,133,Volunteer coordinator,Top Secret
61,Chad Graham,165,Homeopath,Secret
62,Stacy Brown,144,Mining engineer,Secret
63,Jessica Smith,32,Police officer,Secret
64,Kimberly Garcia,28,"Production assistant, television",Confidential
65,Alicia Cortez,68,Ranger/warden,Secret
66,Christina Sloan,77,"Engineer, maintenance",Secret
67,Ronald Kennedy,47,Barrister,Confidential
68,Donald Sanders,44,Advertising art director,Confidential
69,Amy Calhoun,92,Airline pilot,Secret
70,Steven Jones,25,"Secretary, company",Secret
71,Kenneth Lee,53,Equities trader,Confidential
72,Samantha Morgan,50,Museum/gallery exhibitions officer,Secret
73,Crystal Wilson,107,Human resources officer,Top Secret
74,Denise Marshall,16,Diagnostic radiographer,Top Secret
75,Kristen Rodriguez,134,Magazine features editor,Top Secret
76,Ashley Riley,145,Community pharmacist,Confidential
77,Kristin Mendoza,195,"Lecturer, further education",Top Secret
78,Allison Moore,10,Insurance account manager,Secret
79,Robert Smith,148,Agricultural consultant,Confidential
80,Tommy Kelley,62,Barrister,Secret
81,James Richardson,38,Higher education lecturer,Secret
82,Samuel Cobb,39,Charity fundraiser,Secret
83,George Ball,77,Data scientist,Secret
84,Monica Chandler,120,Writer,Top Secret
85,Kathy Williams,7,Medical physicist,Confidential
86,Kelsey Martinez,159,Water engineer,Top Secret
87,Todd Chan,199,Trade union research officer,Confidential
88,Diana West,164,Personnel officer,Confidential
